id,hidden,name,alternateName,code,sku,price,priceType,defaultTaxRates,unitName,cost,isRevenue,stockCount,modifiedTime,priceWithoutVat
TSKHG8TH9BT0Y,false,Bowmore 27 Years Trilogy Port Cask 750mL,,,859141004442,84999,FIXED,true,,54430,true,0,1545702537000,
5F8NJH9YQNSTE,false,Bowmore 26 Years Trilogy French Oak Barrique 750mL,,,859141004428,64999,FIXED,true,,42165,true,0,1545702467000,
MAJBKDH1FMM90,false,Haku Vodka 750mL,,,080686958024,3299,FIXED,true,,1825,true,0,1552965372000,0
TD87226NXDMRT,false,Sloop Betty Caramel Vodka 750mL,,,040232494116,3199,FIXED,true,,1800,true,0,1545693656000,0
0PEX16AHH0E58,false,Puysegur Bas Armagnac Vintage 1989 750mL,,,015643461156,16999,FIXED,true,,9000,true,0,1545626033000,0
XDJTJZBGQVR94,false,Bollinger Brut Rosé 750mL,,3052853078443,864576000167,9999,FIXED,true,,6375,true,0,1545625590000,
BQ2VNEH19S732,false,Manapetra Riserva 2011 Brunello Di Montalcino 750mL,,,015643494642,5699,FIXED,true,,3092,true,0,1545625127000,
ENGXHVCRM7YFE,false,Sandrone Valmaggiore 2016 Nebbiolo D'Alba 750mL,,,8022534316756,5999,FIXED,true,,3092,true,0,1545624302000,
E58NY5Y1K0DYE,false,Purple Hands Latchey Vineyard Pinot Noir 750mL,,,856750003088,5499,FIXED,true,,3342,true,0,1545530777000,
5NP1ZD5C145DM,false,Purple Hands Holstein Vineyard Pinot Noir 750mL,,,856750003026,5499,FIXED,true,,3342,true,0,1545530819000,0
2VG6NZJP4BX3G,false,Bollinger R. D. Extra Brut 750mL,,,864576000198,28999,FIXED,true,,17567,true,0,1545530169000,
5YDPD4SRSWH76,false,Château De Pitray Castillon Cotes De Bordeaux 750mL,,,015643500947,1799,FIXED,true,,1084,true,0,1545528658000,
JKPZ3BJZCKCZP,false,Château Le Peyrat Castillion Cotes De Bordeaux 750mL,,,015643575976,1699,FIXED,true,,884,true,0,1545528505000,0
SECFZ43TSMQD6,false,Basil Haydens Aged 10 Years Bourbon 750mL,,,080686012207,9499,FIXED,true,,4408,true,0,1545513758000,0
RD9PGSVZKT72A,false,Corazon Expresiones Sazerac Rye Anejo Tequila 750mL,,,086024016791,14999,FIXED,true,,8700,true,0,1545342543000,
EN6KQRPJZHVGT,false,Corazon Expresiones Buffalo Trace Reposado Tequila 750mL,,,086024016807,8999,FIXED,true,,5384,true,0,1554946019000,
64TJYTKA1NQZE,false,Bookers Little Book Bourbon 2018 750mL,,,080686011231,12499,FIXED,true,,10370,true,0,1570739106000,
RX0QCTYDXRRSM,false,Compass Box Juveniles LE Whisky 750mL,,,832889008644,15799,FIXED,true,,10500,true,0,1545338573000,
74RQBSZ7E6TXA,false,William Hill Napa Valley Chardonnay 375mL,,,085000027608,1599,FIXED,true,,866,true,0,1545278681000,
2WCQYFN3GGHN0,false,J Pinot Noir 375mL,,,724624001068,1599,FIXED,true,,867,true,0,1545278620000,
2MH1NB87MVRR0,false,Luc Belaire Rare Luxe Rosé 750mL,,,813497004310,3299,FIXED,true,,2000,true,0,1545277817000,
AXCVT6SB82V8J,false,Grand Marnier Regular 750 mL,,649188900476,,2999,FIXED,true,,2000,true,0,1556747690000,0
SKGSSE58FSJ7P,false,Nikka Coffey Gin 750mL,,,4904230049296,4899,FIXED,true,,3400,true,0,1572920349000,
70V2BVP7VZ22A,false,Makers Mark Justify Bourbon 1L,,,085246500958,9999,FIXED,true,,6051,true,0,1545268481000,
2B7TKNN1HCA24,false,Passoa The Passion Drink Liqueur 750mL,,,087236565374,1999,FIXED,true,,1275,true,0,1573156780000,
K5F0JD8NNH3CP,false,Gift Bag  Code 4345-v2,,,876718043451,399,FIXED,false,,124,true,0,1545243908000,0
KKP0VCHTRA7RY,false,Gift Bag  Code 5028_v2,,,842094150281,299,FIXED,false,,79,true,0,1545243096000,
CJ3WAK1B95DP0,false,Resilient 14 Years Aged Bourbon 750mL,,,853932006028,13999,FIXED,true,,7000,true,0,1545280368000,0
B258ZRTQ6ZJSW,false,Tumblin Dice 11 Years Bourbon 750mL,,,609788231417,11999,FIXED,true,,7000,true,0,1545338832000,0
S2VSH6P3A874G,false,Ridge Estate Merlot 750mL,,,744442151004,6999,FIXED,true,,4268,true,0,1545179317000,
ZTH1A0RT8BZ8A,false,Kilchoman Port Cask Matured 2018 Edition 750mL,,,892032044707,12999,FIXED,true,,8900,true,0,1545179193000,
B26XH0004TC8P,false,Kilchoman Loch Gorm Sherry Cask 2018 Edition 750mL,,,892032044684,11999,FIXED,true,,7700,true,0,1545179029000,
QHS70JHG2NV06,false,Corsair Centennial Hopped Whiskey 750mL,,,899119002292,6999,FIXED,true,,4400,true,0,1545178453000,
6Z29FN1NFJ71P,false,Corsair Hydra 5 Smoke Whiskey 750mL,,,899119002445,5999,FIXED,true,,3868,true,0,1545178319000,
JM54RKCY55A92,false,Gift Bag Two Bottle Regular,,,,799,FIXED,true,,0,true,0,1545164131000,0
5WP71HJ6XK2KT,false,Gift Bag Single Bottle Wide Bottle,,,,599,FIXED,true,,0,true,0,1545164009000,
K9HEA69M2GE90,false,Gift Bag Single Bottle Regular,,,,399,FIXED,true,,0,true,0,1545163956000,
YCN8N48D8X4GR,false,Bushmills Black Bush 375mL,,,811538016230,2499,FIXED,true,,1520,true,0,1564717453000,
RDEB5BY3ETZVP,false,Johnnie Walker Blue Label Year Of The PIG 750mL,,,088076183186,22999,FIXED,true,,16000,true,0,1545154168000,
4Q3S21DHY97NC,false,Corsair Red Absinthe Superieur 750mL,,,899119002117,6799,FIXED,true,,4268,true,0,1545147396000,
D12EAKVPV3T6E,false,Flying Dog The Truth Imperial IPA 24 Pack Bottles,,,786243550150,4599,FIXED,true,,3350,true,0,1545102157000,
VFYJ8BSASFPQE,false,Flying Dog The Truth Imperial IPA 6 Pack Bottles,,,786243550143,1199,FIXED,true,,838,true,0,1545102080000,
